record_id,media_id,media_title,user_id,user_rating
1,357,Sifan,138,4.0
2,709,Strictly Ballroom,92,2.0
3,412,A Very Brady Sequel,301,4.0
4,56,Pulp Fiction,60,4.0
5,895,Kobo-chan: Matsuri ga Ippai!,197,3.0
6,325,Crash,601,4.0
7,95,Zhun Xing,710,3.0
8,92,True Romance,833,2.0
9,425,Bob Roberts,916,5.0
10,271,Starship Troopers,940,2.0
11,355,Sphere,611,1.0
12,712,Baosheng Dadi Zhi Qi Er Duo Bao,707,3.0
13,825,The Arrival,699,3.0
14,240,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,16,4.0
15,1150,Last Dance,314,4.0
16,684,In the Line of Fire,217,5.0
17,124,Lone Star,276,5.0
18,294,Karakuri Circus (TV),510,3.0
19,265,Haitoku no Kyoukai,757,3.0
20,465,Chan Shuo A Kuan,881,3.0
21,823,Mahouka Koukou no Rettousei: 10th Anniversary PV,880,3.0
22,243,Crayon Shin-chan Movie 03: Unkokusai no Yabou,797,2.0
23,392,The Man Without a Face,188,5.0
24,202,Groundhog Day,246,3.0
25,433,Heathers,445,2.0
26,182,GoodFellas,91,4.0
27,56,Pulp Fiction,372,4.0
28,116,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao Di Er Ji,891,3.0
29,285,Secrets & Lies,71,3.0
30,638,The Return of Martin Guerre (Le Retour de Martin Guerre),279,4.0
31,309,Cinderella Girls Gekijou: Climax Season,688,5.0
32,491,Menghuan Zhen 4,59,4.0
33,117,Bao Bao Wo,56,5.0
34,466,Red Rock West,854,3.0
35,160,Glengarry Glen Ross,615,3.0
36,19,Yuusha Tokkyuu Might Gaine,639,4.0
37,591,Han Solo/Star Wars Story,699,2.0
38,99,Captain Bal,195,3.0
39,302,For,676,5.0
40,1028,Dragon Rider,279,4.0
41,124,Lone Star,634,3.0
42,125,Hinomaru!,505,3.0
43,7,Twelve Monkeys,617,3.0
44,98,The Silence of the Lambs,666,4.0
45,794,Yakimochi Caprice,416,5.0
46,927,The Flower of My Secret (La Flor de mi secreto),655,3.0
47,248,Flying Messenger,293,3.0
48,136,Mr. Smith Goes to Washington,350,5.0
49,339,Fragtime,404,1.0
50,96,Wo Shi Na Zha,28,5.0
51,268,Chasing Amy,428,4.0
52,248,Flying Messenger,733,3.0
53,275,Sense and Sensibility,354,4.0
54,628,Sleepers,486,3.0
55,179,A Clockwork Orange,409,5.0
56,240,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,582,4.0
57,200,Dragon Egg,253,4.0
58,516,Local Hero,354,5.0
59,1009,Stealing Beauty,663,3.0
60,175,Brazil,669,4.0
61,70,Tamako Market: Pettanko Anime - Occhoko Choi-chan,535,4.0
62,183,Persona 3 The Movie,560,5.0
63,386,Addams Family Values,7,4.0
64,321,Mother,223,1.0
65,930,Chain Reaction,407,2.0
66,125,Hinomaru!,109,5.0
67,685,Executive Decision,643,3.0
68,70,Tamako Market: Pettanko Anime - Occhoko Choi-chan,585,5.0
69,540,Money Train,222,3.0
70,147,Mashiro-iro Symphony: The Color of Lovers,624,4.0
71,427,Gomennasai,330,5.0
72,665,Du La Jiang Gushi,497,2.0
73,659,Golden Kamuy 2 OVA,664,5.0
74,197,Hotsure ni Fureru,121,4.0
75,253,The Pillow Book,758,5.0
76,15,Yasai no Yousei: Quiz Gekijou,26,4.0
77,268,Chasing Amy,113,4.0
78,435,Butch Cassidy and the Sundance Kid,684,3.0
79,428,Shinkai no Survival!,645,4.0
80,476,The First Wives Club,318,4.0
81,872,Love Jones,783,4.0
82,1265,Qin Shi Ming Yue: Junlin Tianxia,440,5.0
83,180,The Gregory Gallery Tour Special,194,3.0
84,23,Taxi Driver,76,5.0
85,13,Mighty Aphrodite,62,4.0
86,471,Hamatora The Animation,943,5.0
87,211,M*A*S*H,545,3.0
88,124,Lone Star,663,3.0
89,297,Monster Strike the Animation: Trouble in Monster Strike,139,5.0
90,222,Star Trek: First Contact,435,3.0
91,67,Ace Ventura: Pet Detective,417,4.0
92,43,Disclosure,290,3.0
93,252,The Lost World: Jurassic Park,939,3.0
94,286,Taegeugsonyeon Huin Dogsuli,820,4.0
95,724,JoJo's Bizarre Adventure Re-edited,297,3.0
96,273,Seer 7,442,4.0
97,31,Rock`n Oyone,303,3.0
98,245,The Devil's Own,832,3.0
99,596,The Hunchback of Notre Dame,330,5.0
100,1045,Momoiro no Crayon,122,4.0
101,510,Jubilee,7,5.0
102,588,Beauty and the Beast,128,5.0
103,582,Xia Gu Zhong An Zu,316,5.0
104,1016,Diabolik Lovers,144,3.0
105,233,Under Siege,773,1.0
106,269,The Full Monty,116,3.0
107,79,The Fugitive,653,4.0
108,117,Bao Bao Wo,674,5.0
109,208,Himeyuri no Tou,653,3.0
110,744,Michael Collins,139,5.0
111,432,Line,844,5.0
112,1047,Viper GTS,708,2.0
113,1473,The Little Princess,655,3.0
114,746,Real Genius,940,3.0
115,984,Anime Rakugo Kan,255,1.0
116,211,M*A*S*H,296,4.0
117,763,Happy Gilmore,336,3.0
118,88,Sleepless in Seattle,749,4.0
119,269,The Full Monty,147,4.0
120,205,Patton,10,5.0
121,354,The Wedding Singer,215,4.0
122,1008,I Shot Andy Warhol,537,2.0
123,1010,Boku no Lyric no Bouyomi: Boku wa Mou Inai,561,3.0
124,91,The Nightmare Before Christmas,303,5.0
125,558,Inemuri Buu-chan,886,3.0
126,954,Unzipped,568,2.0
127,268,Chasing Amy,204,3.0
128,761,Nick of Time,586,3.0
129,278,Mutou Guniang,654,3.0
130,827,The Diary of Ochibi,899,2.0
131,875,Sojunghan Nal-ui Kkum,836,1.0
132,672,Sonic the Hedgehog (TV),268,2.0
133,82,Jurassic Park,871,3.0
134,222,Star Trek: First Contact,677,4.0
135,988,Shironeko Project: Zero Chronicle,603,4.0
136,50,Star Wars,290,5.0
137,152,Fairy Tail: Houou no Miko - Hajimari no Asa,41,4.0
138,744,Michael Collins,158,4.0
139,89,Blade Runner,271,3.0
140,281,The River Wild,269,1.0
141,880,Soul Food,708,3.0
142,866,Mugen no Kyoukai,717,1.0
143,333,The Game,85,1.0
144,742,Ransom,320,4.0
145,436,An American Werewolf in London,290,2.0
146,354,The Wedding Singer,551,3.0
147,512,Wings of Desire,561,4.0
148,229,Sprite: Between Two Worlds,343,4.0
149,614,Mushi Shinobu,311,4.0
150,728,Junior,389,3.0
151,173,The Princess Bride,450,5.0
152,62,Wan Jie Du Zun,671,5.0
153,235,Mars Attacks!,761,3.0
154,369,Black Sheep,246,3.0
155,661,High Noon,263,5.0
156,895,Kobo-chan: Matsuri ga Ippai!,618,3.0
157,121,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,363,2.0
158,604,Jinkou Shoujo: Henshin Sex Android,25,4.0
159,530,One Piece: Jango no Dance Carnival,405,1.0
160,258,Love Bitch: Yasashii Onna,499,2.0
161,684,In the Line of Fire,506,5.0
162,654,Chinatown,305,4.0
163,340,Mobile Suit SD Gundam Mk II,589,1.0
164,403,Xiao Ban Long Haiyang Baike,805,4.0
165,195,The Terminator,308,5.0
166,268,Chasing Amy,920,3.0
167,258,Love Bitch: Yasashii Onna,247,5.0
168,282,B: The Beginning Succession,655,3.0
169,9,Chaos;Child: Chaos;Head,291,5.0
170,191,Shikoyaka Naru Toki mo Hameru Toki mo,625,3.0
171,149,Jude,354,5.0
172,932,First Kid,471,5.0
173,334,Love Nights! A.D,309,4.0
174,215,Kimagure Robot,751,4.0
175,172,Doraemon Movie 23: Nobita to Robot Kingdom,556,5.0
176,28,Apollo 13,771,5.0
177,646,Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao,666,3.0
178,121,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,94,2.0
179,219,Ji Jia Dashi,814,4.0
180,619,Caesura of Despair,699,2.0
181,356,The Client,664,3.0
182,458,Nixon,733,2.0
183,99,Captain Bal,693,3.0
184,288,Scream,787,1.0
185,566,Goro-chan,661,4.0
186,323,Planetarium Pokemon: Aurora kara no Message,502,4.0
187,259,Teeter,30,4.0
188,331,The Edge,616,4.0
189,9,Chaos;Child: Chaos;Head,390,5.0
190,566,Goro-chan,94,2.0
191,1037,KAGEROU DAZE No.9,453,1.0
192,144,Die Hard,715,5.0
193,558,Inemuri Buu-chan,833,4.0
194,264,Mimic,486,3.0
195,420,Menghuan Shuyuan 3rd Season,417,4.0
196,905,Great Expectations,450,5.0
197,333,The Game,720,4.0
198,272,Good Will Hunting,711,5.0
199,1049,Kuku Nenbutsu,181,1.0
200,597,Jarinko Chie (TV),386,3.0
201,661,High Noon,496,3.0
202,1135,The Doors,262,3.0
