b'1681',b'You So Crazy (1994)'
b'1457',b'Love Is All There Is (1996)'
b'500',b'Fly Away Home (1996)'
b'838',b'In the Line of Duty 2 (1987)'
b'1648',"b'Niagara, Niagara (1997)'"
b'547',"b""Young Poisoner's Handbook, The (1995)"""
b'387',"b'Age of Innocence, The (1993)'"
b'1495',b'Flirt (1995)'
b'817',b'Frisk (1995)'
b'267',b'unknown'
b'1637',b'Girls Town (1996)'
b'1396',b'Stonewall (1995)'
b'498',"b'African Queen, The (1951)'"
b'852',"b'Bloody Child, The (1996)'"
b'685',b'Executive Decision (1996)'
b'231',b'Batman Returns (1992)'
b'719',b'Canadian Bacon (1994)'
b'308',b'FairyTale: A True Story (1997)'
b'445',"b'Body Snatcher, The (1945)'"
b'486',b'Sabrina (1954)'
b'355',b'Sphere (1998)'
b'1592',"b'Magic Hour, The (1998)'"
b'923',b'Raise the Red Lantern (1991)'
b'1033',b'Homeward Bound II: Lost in San Francisco (1996)'
b'248',b'Grosse Pointe Blank (1997)'
b'244',"b""Smilla's Sense of Snow (1997)"""
b'1285',b'Princess Caraboo (1994)'
b'512',b'Wings of Desire (1987)'
b'1578',"b'Collectionneuse, La (1967)'"
b'40',"b'To Wong Foo, Thanks for Everything! Julie Newmar (1995)'"
b'1031',b'Lassie (1994)'
b'1546',b'Shadows (Cienie) (1988)'
b'1541',"b'Beans of Egypt, Maine, The (1994)'"
b'543',"b'Mis\xc3\xa9rables, Les (1995)'"
b'1479',b'Reckless (1995)'
b'1518',b'Losing Isaiah (1995)'
b'1347',"b'Ballad of Narayama, The (Narayama Bushiko) (1958)'"
b'637',"b'Howling, The (1981)'"
b'896',"b'Sweet Hereafter, The (1997)'"
b'1405',"b""Boy's Life 2 (1997)"""
b'447',b'Carrie (1976)'
b'1669',b'MURDER and murder (1996)'
b'629',b'Victor/Victoria (1982)'
b'760',b'Screamers (1995)'
b'920',b'Two Bits (1995)'
b'1527',b'Senseless (1998)'
b'981',b'Dangerous Ground (1997)'
b'1093',b'Live Nude Girls (1995)'
b'1323',"b""Wooden Man's Bride, The (Wu Kui) (1994)"""
b'539',b'Mouse Hunt (1997)'
b'647',b'Ran (1985)'
b'1588',b'Salut cousin! (1996)'
b'1165',b'Big Bully (1996)'
b'434',b'Forbidden Planet (1956)'
b'136',b'Mr. Smith Goes to Washington (1939)'
b'180',b'Apocalypse Now (1979)'
b'614',b'Giant (1956)'
b'1328',b'Of Love and Shadows (1994)'
b'56',b'Pulp Fiction (1994)'
b'907',b'Vermin (1998)'
b'144',b'Die Hard (1988)'
b'720',b'First Knight (1995)'
b'29',b'Batman Forever (1995)'
b'1494',"b'Mostro, Il (1994)'"
b'1583',"b'Invitation, The (Zaproszenie) (1986)'"
